geoid;gini
36005045101;0,3889
36005045102;0,367
36005045600;0,4441
36005045800;0,3873
36005046000;0,5261
36005046201;0,4148
36005046202;0,4734
36005048400;0,3918
36005050400;0,7239
36005051600;0,3728
36047000100;0,5272
36047000200;0,4306
36047000301;0,5848
36047000501;0,5121
36047000502;0,504
36047000700;0,5373
36047000900;0,5097
36047001100;0,3744
36047001300;0,4159
36047001500;0,4979
36047002000;0,3802
36047002100;0,4173
36047002200;0,4984
36047002300;0,4941
36047002901;0,4918
36047003000;0,5016
36047003100;0,4073
36047003300;0,5014
36047003400;0,4562
36047003500;0,5316
36047003600;0,4748
36047003700;0,3891
36047003800;0,4613
36047003900;0,4638
36047004100;0,4684
36047004300;0,5229
36047004400;0,4657
36047004500;0,4332
36047004600;0,4566
36047004700;0,4594
36047004900;0,4861
36047005000;0,4749
36047005100;0,3853
36047005201;0,63
36047005202;0,4151
36047005300;0,4462
36047005400;0,557
36047005601;0,4447
36047005602;0,4999
36047005800;0,5036
36047005900;0,3847
36047006000;0,4236
36047006200;0,4893
36047006300;0,4236
36047006400;0,4952
36047006500;0,4691
36047006600;0,4809
36047006700;0,4651
36047006800;0,4386
36047006900;0,4786
36047007000;0,5152
36047007100;0,5815
36047007200;0,4
36047007400;0,5059
36047007500;0,5275
36047007600;0,5014
36047007700;0,4841
36047007800;0,4721
36047008000;0,4731
36047008200;0,5688
36047008400;0,4322
36047008500;0,6003
36047008800;0,3335
36047009000;0,4218
36047009200;0,4706
36047009400;0,4145
36047009600;0,4661
36047009800;0,4774
36047010000;0,4481
36047010100;0,4298
36047010200;0,4069
36047010400;0,447
36047010600;0,4157
36047010800;0,4247
36047011000;0,4634
36047011200;0,4665
36047011400;0,4127
36047011600;0,5018
36047011700;0,4348
36047011800;0,5699
36047011900;0,4636
36047012000;0,503
36047012100;0,4226
36047012200;0,4302
36047012600;0,4896
36047012700;0,6262
36047012801;0,4904
36047012901;0,4467
36047012902;0,4639
36047013000;0,4699
36047013100;0,542
36047013200;0,4639
36047013300;0,4396
36047013400;0,4361
36047013500;0,4792
36047013600;0,4294
36047013700;0,4623
36047013800;0,471
36047013900;0,4157
36047014000;0,4665
36047014100;0,507
36047014200;0,4561
36047014300;0,4063
36047014500;0,4258
36047014700;0,4383
36047014800;0,4895
36047014900;0,4246
36047015000;0,4579
36047015100;0,4764
36047015200;0,4433
36047015300;0,4307
36047015500;0,4977
36047015700;0,4098
36047015900;0,4777
36047016000;0,4005
36047016100;0,4842
36047016200;0,3948
36047016300;0,4716
36047016400;0,3441
36047016500;0,5331
36047016600;0,4943
36047016700;0,4272
36047016800;0,4688
36047016900;0,5184
36047017000;0,4192
36047017100;0,4626
36047017200;0,4336
36047017400;0,3888
36047017600;0,4079
36047017800;0,3884
36047017900;0,5364
36047018000;0,5035
36047018100;0,4146
36047018200;0,455
36047018300;0,3881
36047018400;0,5021
36047018501;0,5401
36047018600;0,4713
36047018700;0,6385
36047018800;0,4273
36047019000;0,4664
36047019100;0,4613
36047019200;0,5185
36047019300;0,4192
36047019400;0,4562
36047019500;0,4123
36047019600;0,4436
36047019700;0,5185
36047019800;0,4589
36047019900;0,4399
36047020000;0,4461
36047020100;0,47
36047020200;0,4065
36047020300;0,442
36047020400;0,4073
36047020500;0,4617
36047020600;0,4483
36047020700;0,4695
36047020800;0,4336
36047021000;0,4786
36047021100;0,4886
36047021200;0,4814
36047021300;0,4881
36047021400;0,4766
36047021500;0,4972
36047021600;0,4793
36047021700;0,4712
36047021800;0,6079
36047021900;0,5233
36047022000;0,4254
36047022100;0,5568
36047022200;0,4685
36047022400;0,4506
36047022600;0,3804
36047022700;0,4997
36047022800;0,4889
36047022900;0,4776
36047023000;0,4868
36047023100;0,4466
36047023200;0,4401
36047023300;0,542
36047023400;0,5078
36047023500;0,5651
36047023600;0,4658
36047023800;0,5154
36047024000;0,4997
36047024100;0,4565
36047024200;0,4667
36047024300;0,5001
36047024400;0,5159
36047024500;0,453
36047024600;0,4973
36047024700;0,4916
36047024800;0,4595
36047024900;0,4438
36047025000;0,5279
36047025100;0,5586
36047025200;0,4193
36047025300;0,4878
36047025400;0,5236
36047025500;0,4044
36047025600;0,4503
36047025700;0,5186
36047025800;0,4647
36047025901;0,5438
36047025902;0,4888
36047026000;0,4397
36047026100;0,4842
36047026200;0,4831
36047026300;0,5194
36047026400;0,4437
36047026500;0,5862
36047026600;0,4519
36047026700;0,5201
36047026800;0,4443
36047026900;0,5091
36047027000;0,4311
36047027100;0,5496
36047027200;0,4449
36047027300;0,5132
36047027400;0,5035
36047027500;0,4765
36047027600;0,5204
36047027700;0,4959
36047027800;0,4265
36047027900;0,4499
36047028000;0,4534
36047028100;0,5652
36047028200;0,4968
36047028300;0,4906
36047028400;0,4224
36047028501;0,3305
36047028502;0,492
36047028600;0,4607
36047028700;0,6389
36047028800;0,4748
36047028900;0,4426
36047029000;0,4409
36047029100;0,4929
36047029200;0,4912
36047029300;0,5273
36047029400;0,4127
36047029500;0,519
36047029600;0,5036
36047029700;0,5217
36047029800;0,4358
36047029900;0,5332
36047030000;0,5002
36047030100;0,5361
36047030200;0,4741
36047030300;0,5435
36047030400;0,4818
36047030500;0,4401
36047030600;0,4705
36047030700;0,5461
36047030800;0,4304
36047030900;0,5017
36047031100;0,4675
36047031300;0,5176
36047031400;0,46
36047031500;0,4962
36047031701;0,4859
36047031702;0,3929
36047031900;0,4792
36047032100;0,5206
36047032300;0,4252
36047032500;0,4363
36047032600;0,4738
36047032700;0,5042
