boro_cd,shape_area,shape_leng,COORD_X,COORD_Y
311.0000000000000000000000000000000,103177785.3649999900000000000000000000000,51549.5578566999980000000000000000000,     -73.993635762259544,      40.607216137783325
313.0000000000000000000000000000000,88195686.2748000030000000000000000000000,65821.8755769999990000000000000000000,     -73.982139602468763,      40.580648651778539
312.0000000000000000000000000000000,99525500.0655000060000000000000000000000,52245.8304843000010000000000000000000,     -73.983259873263634,      40.631227093730331
206.0000000000000000000000000000000,42664311.3237999980000000000000000000000,35875.7111725000000000000000000000000,     -73.887530091749014,      40.849603931752746
226.0000000000000000000000000000000,50566410.6415000040000000000000000000000,32820.3983295000000000000000000000000,     -73.886610532136842,      40.897059992154439
317.0000000000000000000000000000000,93810206.7108000070000000000000000000000,43326.8506229999980000000000000000000,     -73.933816905116117,      40.648042536978018
404.0000000000000000000000000000000,65739661.9877000000000000000000000000000,37018.3733609999980000000000000000000,     -73.871495524637041,      40.740845125429360
316.0000000000000000000000000000000,51768907.0467000010000000000000000000000,32997.5748039000030000000000000000000,     -73.910943395210211,      40.668155996901859
405.0000000000000000000000000000000,210395744.1040000000000000000000000000000,70005.2522982999940000000000000000000,     -73.890535034705906,      40.710763187972518
315.0000000000000000000000000000000,131643044.6910000000000000000000000000000,115288.5414210000000000000000000000000,     -73.949855225187036,      40.594479252767556
105.0000000000000000000000000000000,43790297.6523000000000000000000000000000,35288.3050787000030000000000000000000,     -73.984056091410537,      40.752276658527521
309.0000000000000000000000000000000,45326297.5678000000000000000000000000000,29944.4744978999990000000000000000000,     -73.946927124443931,      40.662799629405079
308.0000000000000000000000000000000,45592893.9570000020000000000000000000000,38229.6028367000040000000000000000000,     -73.946595150876050,      40.674356047064165
355.0000000000000000000000000000000,26143862.2430999990000000000000000000000,23963.4546162000010000000000000000000,     -73.968959940701438,      40.662733723386815
483.0000000000000000000000000000000,192024618.7439999900000000000000000000000,106861.7195020000100000000000000000000,     -73.786116670607214,      40.646983779290018
314.0000000000000000000000000000000,82175671.7295999970000000000000000000000,49291.7913132999970000000000000000000,     -73.959119187143884,      40.631853082787714
303.0000000000000000000000000000000,79461359.5155999960000000000000000000000,36213.6961535000010000000000000000000,     -73.940562478023836,      40.687686185246008
101.0000000000000000000000000000000,42687995.3812000010000000000000000000000,73996.5781665999970000000000000000000,     -74.012670862321144,      40.707172758890941
413.0000000000000000000000000000000,350469231.0120000200000000000000000000000,140593.5891710000000000000000000000000,     -73.737335655466197,      40.699576649133867
411.0000000000000000000000000000000,260868500.8960000000000000000000000000000,97508.9481429000010000000000000000000,     -73.759159329256718,      40.756657245947025
302.0000000000000000000000000000000,79329421.3163000050000000000000000000000,74179.9130406000040000000000000000000,     -73.978730770441587,      40.693490711614302
201.0000000000000000000000000000000,60401501.0763000030000000000000000000000,33337.6559178000020000000000000000000,     -73.916469517872827,      40.810909321469580
104.0000000000000000000000000000000,49311793.7506000030000000000000000000000,67623.9466791000010000000000000000000,     -73.997536247013684,      40.755422206911270
164.0000000000000000000000000000000,38312333.5930000020000000000000000000000,32721.4112589000000000000000000000000,     -73.965558532664545,      40.782473334912282
107.0000000000000000000000000000000,53152823.2778000010000000000000000000000,39863.7016261000030000000000000000000,     -73.976124480254853,      40.787167087901977
406.0000000000000000000000000000000,82702417.7355999950000000000000000000000,42758.9701118000010000000000000000000,     -73.851349546890887,      40.722168517696694
227.0000000000000000000000000000000,31432008.6207000020000000000000000000000,28391.6295400999990000000000000000000,     -73.875609077927891,      40.856817391563510
306.0000000000000000000000000000000,85497477.9591999950000000000000000000000,82130.5401592999990000000000000000000,     -73.994450685485106,      40.676374121463290
112.0000000000000000000000000000000,77966612.9094000010000000000000000000000,56219.7626131000000000000000000000000,     -73.931517278562097,      40.855117113076929
109.0000000000000000000000000000000,41892179.2422000020000000000000000000000,34959.1845529999990000000000000000000,     -73.955028951434997,      40.818051449652621
304.0000000000000000000000000000000,56662613.3174000010000000000000000000000,37007.8068006000030000000000000000000,     -73.916835588025506,      40.694549246497616
108.0000000000000000000000000000000,55172439.1965000030000000000000000000000,53927.0991666999980000000000000000000,     -73.955727079895823,      40.771562659626390
480.0000000000000000000000000000000,32766214.1444999990000000000000000000000,47222.1952062999990000000000000000000,     -73.874562277250973,      40.774507690012122
481.0000000000000000000000000000000,47555482.8999999990000000000000000000000,53806.0368611000010000000000000000000,     -73.841392431972480,      40.741750494985958
202.0000000000000000000000000000000,61854856.7775999980000000000000000000000,49485.2418283000010000000000000000000,     -73.887866975438442,      40.813322005751210
110.0000000000000000000000000000000,39084628.0547000020000000000000000000000,35825.2905203999980000000000000000000,     -73.944734867055530,      40.813689135857629
111.0000000000000000000000000000000,66146008.5481999960000000000000000000000,59502.9083794000030000000000000000000,     -73.934976965816546,      40.794907516554652
307.0000000000000000000000000000000,104130713.2300000000000000000000000000000,87416.9599208000000000000000000000000,     -74.001056375193428,      40.651987716752444
310.0000000000000000000000000000000,111328281.9830000000000000000000000000000,44788.1547961999970000000000000000000,     -74.023464192854760,      40.623316294072339
205.0000000000000000000000000000000,38316975.5297999980000000000000000000000,29443.0483190999980000000000000000000,     -73.909579712511999,      40.852746129162888
207.0000000000000000000000000000000,53311689.2532000020000000000000000000000,44812.1476592999970000000000000000000,     -73.891454861627849,      40.870975854922186
503.0000000000000000000000000000000,599052747.6749999500000000000000000000000,189003.4774510000100000000000000000000,     -74.190322239721652,      40.541176946508514
203.0000000000000000000000000000000,44815757.8046000000000000000000000000000,33496.4909991000020000000000000000000,     -73.898643742943705,      40.832555761141947
