OBJECTID,Shape_Leng,Shape_Area,zone,LocationID,borough,COORD_X,COORD_Y
143,      0.05417985388,      0.00015109427,Lincoln Square West,143,Manhattan,  987671.709701348790000,  221982.085493398950000
144,      0.02762016685,      0.00004747897,Little Italy/NoLiTa,144,Manhattan,  985104.148522702160000,  201915.790275744510000
145,      0.11431384498,      0.00034664173,Long Island City/Hunters Point,145,Queens,  998411.743134419900000,  210842.564940659710000
146,      0.04714052157,      0.00010463892,Long Island City/Queens Plaza,146,Queens, 1002305.987357746000000,  214074.296655075570000
147,      0.05876549493,      0.00010641817,Longwood,147,Bronx, 1012217.112268326000000,  237923.244820871590000
148,      0.03913050156,      0.00006974899,Lower East Side,148,Manhattan,  986773.546091555150000,  201205.264891607020000
149,      0.08368058218,      0.00027063962,Madison,149,Brooklyn,  998651.508668595810000,  159666.945593709970000
150,      0.08933149118,      0.00033256804,Manhattan Beach,150,Brooklyn,  999908.708734879040000,  150763.567009259660000
151,      0.05488994110,      0.00012884890,Manhattan Valley,151,Manhattan,  993063.376860860740000,  229997.644625547980000
152,      0.05790947688,      0.00014663764,Manhattanville,152,Manhattan,  997042.628828968740000,  237290.906786193690000
153,      0.02473723902,      0.00003246850,Marble Hill,153,Manhattan, 1009034.686268447700000,  258429.141535005300000
154,      0.22733157076,      0.00178968692,Marine Park/Floyd Bennett Field,154,Brooklyn, 1011301.603514481300000,  155545.396170144670000
155,      0.16980847303,      0.00086826102,Marine Park/Mill Basin,155,Brooklyn, 1007772.073828503800000,  163199.946837547150000
156,      0.14447689048,      0.00105212174,Mariners Harbor,156,Staten Island,  937831.397915720120000,  169323.095682864340000
157,      0.13130021778,      0.00035437013,Maspeth,157,Queens, 1011322.056621888800000,  203062.482654499970000
158,      0.05480999055,      0.00018556825,Meatpacking/West Village West,158,Manhattan,  981760.163009758110000,  207069.855248184850000
159,      0.06436323321,      0.00017124910,Melrose South,159,Bronx, 1008372.343194279700000,  237403.265207625780000
160,      0.14151914297,      0.00057123498,Middle Village,160,Queens, 1017500.333773635400000,  201008.748071686800000
